pop pch bg.col rim.col region
Steppe_MLBA 22 hotpink black Eurasian_Steppe
Europe_LNBA 21 yellow black Mainland_Europe
Steppe_EMBA 22 hotpink violet  Eurasian_Steppe
Armenia_MLBA 21 darkgoldenrod black Caucasus
Europe_MNChL 24 yellow black Mainland_Europe
Ust_Ishim 15 black black Russia
Iberia_BA 21 yellow red Mainland_Europe
Switzerland_HG 23 yellow black Mainland_Europe
CHG 3 red red Caucasus
Europe_EN 25 yellow black Mainland_Europe
WHG 23 darkblue black Mainland_Europe
EHG 23 red black Eurasian_Steppe
Steppe_IA 22 hotpink green Eurasian_Steppe
Anatolia_N 25 red black Anatolia
Steppe_Eneolithic 22 hotpink blue Eurasian_Steppe
SHG 23 darkviolet black Mainland_Europe
MA1 15 black black Russia
Kostenki14 15 black black Russia
Iran_N 25 green black Iran
Natufian 23 cyan black Levant
Levant_N 25 cyan black Levant
Iran_HotuIIIb 23 green black Iran
Armenia_ChL 24 darkgoldenrod black Caucasus
Levant_BA 21 cyan black Levant
Armenia_EBA 21 hotpink blue Caucasus
Iran_ChL 24 darkgoldenrod black Iran
Iran_LN 21 green black Iran
Anatolia_ChL 24 red black Anatolia
Iran_recent 25 green red Iran
