Genetic ID,Alternative ID,Latitude,Longitude,Genetic Sex Determination,Analysis Label,Detailed Label,Source (Library components if this study),UDG treatment (minus=untreated; half=treated except in last nucleotides; plus=treated over all nucleotides),Data type,"Date: One of two formats: (Format 1) 95.4% CI calibrated radiocarbon age (Conventional Radiocarbon Age, Lab number) e.g. 5983-5747 calBCE (6980±50 BP, Beta-226472) or (Format 2) Archaeological context date, e.g. 2500-1700 BCE",Location,Country,Coverage,SNPs,"mitochondrial DNA haplogroup determination (for newly reported sample, only given for individuals with >10x mtDNA coverage)"
RISE500,6652-38,53.456,85.447,F,Steppe_MLBA,Andronovo,AllentoftNature2015,minus,Shotgun,..,Kytmanovo,Russia,1.818,904483,U4d1
RISE471,burial 1,48.17,10.814,M,Europe_LNBA,Germany_Bronze_Age,AllentoftNature2015,minus,Shotgun,..,Untermeitingen,Germany,0.101,116341,J1c1b
RISE559,"F0174, gr 4",48.33,10.895,F,Europe_LNBA,Bell_Beaker_Germany,AllentoftNature2015,minus,Shotgun,..,Augsburg,Germany,0.127,146427,H46
RISE560,"F0187, gr 3",48.33,10.895,M,Europe_LNBA,Bell_Beaker_Germany,AllentoftNature2015,minus,Shotgun,..,Augsburg,Germany,0.048,58027,U5a1a1
RISE562,"F0228, obj. 136/92 = gr.9",48.663,12.707,F,Europe_LNBA,Bell_Beaker_Germany,AllentoftNature2015,minus,Shotgun,..,Landau an der Isar,Germany,0.057,68118,H2a1e
RISE563,"F0234, obj. 8",48.691,13.016,M,Europe_LNBA,Bell_Beaker_Germany,AllentoftNature2015,minus,Shotgun,..,Osterhofen-Altenmarkt,Germany,0.329,340319,K1c1
RISE564,"F0241, obj. 25",48.691,13.016,M,Europe_LNBA,Bell_Beaker_Germany,AllentoftNature2015,minus,Shotgun,..,Osterhofen-Altenmarkt,Germany,0.079,93003,H-T16311C
RISE566,"F0521, A01168, gr. 14",50.118,14.258,M,Europe_LNBA,Bell_Beaker_Czech,AllentoftNature2015,minus,Shotgun,..,Knezeves,Czech Republic,0.103,119789,H
RISE568,"F0525, A01623, gr. 16",50.19,14.158,F,Europe_LNBA,Bell_Beaker_Czech,AllentoftNature2015,minus,Shotgun,..,Brandysek,Czech Republic,0.053,63391,H44a
RISE569,"F0527, A01643, gr. 35?",50.19,14.158,F,Europe_LNBA,Bell_Beaker_Czech,AllentoftNature2015,minus,Shotgun,..,Brandysek,Czech Republic,0.98,736039,H1af
RISE577,"F0565, gr. 238",50.16,14.311,F,Europe_LNBA,Unetice_EBA,AllentoftNature2015,minus,Shotgun,..,Velke Prilepy,Czech Republic,1.048,738363,T2b
RISE586,"F0597, gr. 6",48.799,17.022,F,Europe_LNBA,Unetice_EBA,AllentoftNature2015,minus,Shotgun,..,Moravska Nova Ves,Czech Republic,0.176,195448,K1b1a
RISE00,grave,59.408,27.026,F,Europe_LNBA,Corded_Ware_Estonia,AllentoftNature2015,minus,Shotgun,..,Sope,Estonia,0.91,656226,H5a1
RISE546,"Kurgan 1, grave 13",46.539,43.699,M,Steppe_EMBA,Yamnaya_Kalmykia,AllentoftNature2015,minus,Shotgun,..,Temrta IV,Russia,0.151,167261,U5a1d2b
RISE548,"Kurgan 1, grave 6",46.539,43.699,M,Steppe_EMBA,Yamnaya_Kalmykia,AllentoftNature2015,minus,Shotgun,..,Temrta IV,Russia,1.089,733271,U4
RISE412,#10,40.38,45.18,F,Armenia_MLBA,Armenia_LBA,AllentoftNature2015,minus,Shotgun,"1193-945 calBCE (2885±31 BP, UBA-27940)",Noratus,Armenia,0.105,120701,..
RISE413,#11,40.14,45.26,M,Armenia_MLBA,Armenia_MBA,AllentoftNature2015,minus,Shotgun,"1906-1698 calBCE (3493±34 BP, UBA-28941)",Nerquin Getashen,Armenia,0.034,26038,..
RISE416,#14,40.14,45.26,M,Armenia_MLBA,Armenia_MBA,AllentoftNature2015,minus,Shotgun,"1643-1445 calBCE (3259±40 BP, UBA-27942)",Nerquin Getashen,Armenia,0.025,29941,..
RISE423,#21,40.14,45.26,M,Armenia_MLBA,Armenia_MBA,AllentoftNature2015,minus,Shotgun,"1402-1211 calBCE (3038±32 BP, UBA-27944)",Nerquin Getashen,Armenia,0.642,391520,..
RISE407,#5,40.15,45.86,F,Armenia_MLBA,Armenia_LBA,AllentoftNature2015,minus,Shotgun,"1115-895 calBCE (2827±40 BP, UBA-27938)",Norabak,Armenia,0.249,188600,..
RISE408,#6,40.15,45.86,M,Armenia_MLBA,Armenia_LBA,AllentoftNature2015,minus,Shotgun,"1209-1009 calBCE (2908±32 BP, UBA-27939)",Norabak,Armenia,0.106,119508,..
RISE396,tomb 6 skeleton 1,39.2,46.4,F,Armenia_MLBA,Armenia_LBA,AllentoftNature2015,minus,Shotgun,"1192-937 calBCE (2879±31 BP, OxA-31001)",Kapan,Armenia,0.056,66403,..
RISE397,tomb 6 skeleton 2,39.2,46.4,M,Armenia_MLBA,Armenia_LBA,AllentoftNature2015,minus,Shotgun,"1048-855 calBCE (2807±31 BP, OxA-31002)",Kapan,Armenia,0.241,247537,..
RISE247,ID 3437,47.327,18.962,M,Europe_LNBA,Vatya,AllentoftNature2015,minus,Shotgun,"1746-1611 calBCE (3372±29 BP, OxA-29769)",Százhalombatta-Földvár,Hungary,0.273,237322,H11a
RISE487,T56,45.26,10.379,M,Europe_MNChL,Remedello_BA,AllentoftNature2015,minus,Shotgun,"3483-3107 calBCE (4557±28 BP, OxA-X-2621)",Remedello di Sotto,Italy,0.223,239530,H2a
RISE483,ID 106/159 Q2 (P27),47.341,18.896,F,Europe_LNBA,Vatya,AllentoftNature2015,minus,Shotgun,2000-1500 BCE,Erd 4,Hungary,0.121,134337,H2a1
RISE71,"PMD 57, I",56.676,10.034,F,Europe_LNBA,Nordic_LN,AllentoftNature2015,minus,Shotgun,"2196-2023 calBCE (3701±26 BP, OxA-28269)",Falshöj,Denmark,0.26,203604,H3b
RISE47,N 358 grave 3 skeleton 8,56.97,9.552,M,Europe_LNBA,Nordic_BA,AllentoftNature2015,minus,Shotgun,"1499-1324 calBCE (3153±26 BP, OxA-28258)",Sebber skole,Denmark,0.105,103513,I
RISE435,3/2,48.932,12.259,F,Europe_LNBA,Corded_Ware_Germany,AllentoftNature2015,minus,Shotgun,"2863-2498 calBCE (4094±33 BP, UBA-27947)",Tiefbrunn,Germany,0.043,50680,J1b1a1
RISE486,T78,45.26,10.379,M,Europe_MNChL,Remedello_BA,AllentoftNature2015,minus,Shotgun,"2134-1773 calBCE (3595±55 BP, ETH-12913)",Remedello di Sotto,Italy,0.289,203575,J1c1b
